 gene 	 metA1a 	 metA1b 	 metB1a 	 metB1b 	 metA10a 	 metA10b 	 metB10a 	 metB10b 	 mtrA1a 	 mtrA1b 	 mtrB1a 	 mtrB1b 	 mtrA10a 	 mtrA10b 	 mtrB10a 	 mtrB10b 
 cheV 	 415.4828 	 368.1724 	 336.069 	 342.6897 	 781.2414 	 771.5862 	 660.4138 	 662.1035 	 406.4828 	 367.7931 	 439.1035 	 538.7241 	 861.9655 	 877.6552 	 1021.793 	 906,00   
 hutM 	 1436.207 	 1502.552 	 1193.103 	 1151.759 	 1047.862 	 1120.207 	 1696.759 	 1735.552 	 1745.276 	 1827.862 	 1284.241 	 1350.31 	 1194.793 	 1223.31 	 1438.862 	 1637.448 
 ydfE 	 349.875 	 320.1562 	 246.3793 	 238.8621 	 412.4615 	 411.6923 	 440.3793 	 412.2414 	 300.4483 	 294.7586 	 227.1035 	 260.0345 	 404.2069 	 484.6207 	 375.1724 	 404.1379 
 yhjN 	 304.5938 	 298.7812 	 234.7931 	 247.4138 	 367.6538 	 395.7308 	 390.2069 	 400.1379 	 300.1035 	 284.3103 	 233.3103 	 235.1724 	 375.8621 	 382.1724 	 306.8965 	 311.1724 
 srfAD 	 2263.517 	 2375.345 	 1755.31 	 1738.517 	 2780.586 	 2523.276 	 3404.379 	 3713.862 	 2349.517 	 2330.828 	 2029.69 	 2073.483 	 3120.586 	 3121.138 	 3222.069 	 3145.759 
 citA 	 902.0345 	 874.0345 	 683.2759 	 594.9655 	 1062.586 	 1076.897 	 1471.241 	 1609.034 	 942.5862 	 891.9655 	 730.2414 	 660.931 	 1631.828 	 1657.621 	 1383.414 	 1427.207 
 fruR 	 1494.793 	 1529.966 	 908.7586 	 885.069 	 1169.586 	 913.931 	 733.2414 	 732.7931 	 1414.966 	 1273.414 	 935.6207 	 930.069 	 1385.31 	 1345.724 	 655.6896 	 657.4483 
 yxaI 	 516.6552 	 606.1035 	 406.1035 	 374.6207 	 702.8276 	 769.6552 	 668.6207 	 686.5172 	 452.3103 	 498.931 	 413.3793 	 421.4483 	 739.7241 	 608.6552 	 542.8276 	 555.1035 
 ydgA 	 1531.241 	 1486.483 	 1016.207 	 998.7241 	 1314.724 	 1350.034 	 2143.207 	 2256.966 	 1609.655 	 1699.483 	 1175.069 	 1219.31 	 1662.241 	 1564.862 	 1923.138 	 1943.069 
 yjcE 	 353.5769 	 356.1035 	 256.1379 	 285.6897 	 450.3793 	 397.1724 	 401.2069 	 364.931 	 393.6154 	 379.1035 	 247.931 	 253.2069 	 496.1562 	 477.1035 	 367.3793 	 371.8276 
 ydaF 	 817.5172 	 859.5862 	 544.4828 	 555.8965 	 1225.276 	 1284.931 	 1825.172 	 1884.862 	 891.3448 	 872.4138 	 618.0345 	 630.4828 	 1598.897 	 1781.345 	 1475.138 	 1462.241 
 hemY 	 329.5862 	 329.8276 	 260.1379 	 197.6207 	 406.8621 	 372.0345 	 529.1724 	 350.1035 	 311.7308 	 279.7692 	 230.6897 	 222.2759 	 434.6552 	 438.125 	 427.2758 	 339.0345 
 ylbB 	 491.5862 	 533.0345 	 308.7242 	 277.6207 	 466.4483 	 491,00   	 536.6207 	 564.1724 	 598.7586 	 568.8965 	 340.1379 	 340.2414 	 529.7812 	 509.1562 	 490.3793 	 535.2759 
 yybD 	 352.5862 	 333.3103 	 266.7586 	 277.2758 	 437.2414 	 470.7931 	 537.2759 	 521,00   	 377.931 	 372.2069 	 262.3448 	 279.1724 	 460.931 	 430.8965 	 389.5517 	 419.4828 
 phoB 	 221.3793 	 257.1035 	 192.6552 	 200.1035 	 360.9231 	 365.3846 	 384,00   	 404.6897 	 252.1923 	 242.1538 	 198.1379 	 195.1035 	 343.0938 	 334.8438 	 373.4483 	 327.7931 
 yjlA 	 254.8276 	 231.7931 	 199.6552 	 204.4828 	 333.1154 	 311.2692 	 366.1724 	 355.2758 	 260.0385 	 224.7308 	 220.4483 	 245.7241 	 340.4062 	 325.2188 	 325.6897 	 298,00   
 lrpA 	 603.6896 	 594.1035 	 405.4828 	 401.4138 	 737.1379 	 837.5517 	 952.8276 	 954.2069 	 670.0345 	 675.6896 	 443.8621 	 453.4828 	 823.9655 	 774.2759 	 786.2414 	 830.2759 
