 gene 	 metA1a 	 metA1b 	 metB1a 	 metB1b 	 metA10a 	 metA10b 	 metB10a 	 metB10b 	 mtrA1a 	 mtrA1b 	 mtrB1a 	 mtrB1b 	 mtrA10a 	 mtrA10b 	 mtrB10a 	 mtrB10b 
 ypjA 	 858.4828 	 887.6896 	 545,00   	 522.3448 	 787.8621 	 820.1035 	 819.5172 	 849.5517 	 601.6207 	 680.0345 	 448.7931 	 404.7931 	 681.931 	 670.2414 	 822.8965 	 827.1035 
 yxxB 	 846.1724 	 832.069 	 610.6896 	 601,00   	 675.6896 	 686.3448 	 867.8965 	 871.6896 	 623.069 	 669.931 	 511.9655 	 494.931 	 648,00   	 629.6207 	 799.2759 	 832.3448 
 rplS 	 1651.793 	 1687.931 	 1833.759 	 1887.828 	 2957.172 	 3324.896 	 2476.793 	 2725.31 	 1142.448 	 1184.586 	 1451.552 	 1570.414 	 2449.034 	 2693.448 	 2484.104 	 2575.483 
 yqjS 	 652.3104 	 497,00   	 424.1724 	 435.8276 	 853.6552 	 816.3448 	 937.9655 	 1010.31 	 388.069 	 440.5862 	 343.1379 	 370.0345 	 813.8276 	 822.8965 	 798.0345 	 886.6896 
 ylqC 	 364.5172 	 467.069 	 215.6207 	 261.4483 	 354.8276 	 385.6552 	 326.7586 	 374.8621 	 283.4138 	 318.4483 	 217.5172 	 225.7586 	 373.8965 	 428,00   	 362.069 	 350.2758 
 ybfI 	 1076.241 	 1048.034 	 714.4483 	 714.1379 	 1283.862 	 1295.586 	 1478.828 	 1561.828 	 1004.828 	 1095.448 	 608.931 	 629.4138 	 1818.759 	 1927.759 	 1253.862 	 1437.793 
 nadC 	 763.8621 	 803.7241 	 635.4828 	 677.5517 	 1437.414 	 1354.379 	 1148.379 	 1219.552 	 717.8621 	 638.6207 	 632.3793 	 635.3448 	 1478.414 	 1533.241 	 1221.69 	 1184.966 
 yflC 	 736.3448 	 765.3448 	 507.8276 	 534.069 	 896.3104 	 883.6896 	 814.3104 	 805.069 	 610.7931 	 630.6896 	 441.8621 	 461.1379 	 894.4483 	 973.4828 	 751.069 	 768.6552 
 spoIIIAH 	 474.7931 	 548.1379 	 317.1724 	 326.7242 	 490.6552 	 530.8965 	 518.2414 	 539.1724 	 345.8621 	 372.7586 	 263.931 	 335.6552 	 585.069 	 562.8965 	 546.2759 	 576.1724 
 yerP 	 1361.862 	 1416.379 	 804.6207 	 815.4828 	 1274.379 	 1382.759 	 1291.241 	 1338.31 	 1112.138 	 1 117,00   	 651.1035 	 731.0345 	 1423.414 	 1493.448 	 1 134,00   	 1199.034 
 yoxB 	 364.5862 	 335.5172 	 315.3793 	 222.5172 	 386.1379 	 397.1379 	 468.2069 	 455.7242 	 285.8621 	 314.3103 	 236.3448 	 249.7931 	 446.3103 	 446.3793 	 423.8276 	 409.6552 
 yqxI 	 530.2414 	 541.6896 	 524.8621 	 376.4828 	 1077.207 	 1093.966 	 791.4828 	 791.8965 	 672.3793 	 613.2069 	 265.7931 	 302.8621 	 1544.552 	 1537.241 	 506.3793 	 470.3103 
 yraA 	 999.3104 	 985.069 	 725.7241 	 709.3448 	 1256.448 	 1256.552 	 1268.759 	 1312.034 	 878.4138 	 861.7586 	 665.4828 	 660.7931 	 1331.414 	 1267.483 	 1 188,00   	 1261.862 
 yofA 	 491.2758 	 448.3448 	 327.0345 	 288.7931 	 620.1035 	 648.8965 	 633.1379 	 646.7931 	 415.3793 	 344.0345 	 292.5517 	 255.5862 	 652.1035 	 576.8621 	 594.6896 	 579.5172 
 yvcA 	 346.4138 	 373.4828 	 280.6897 	 263.4483 	 477.3448 	 483.1724 	 429.931 	 432.4138 	 279.8621 	 267.1724 	 198.3793 	 246.6552 	 481.2758 	 465.069 	 393.9655 	 411.9655 
 lytE 	 435.0345 	 443.8276 	 428.4483 	 388.4138 	 703.5862 	 705.8276 	 699.2759 	 713.1379 	 384.6207 	 400.6207 	 348,00   	 384.0345 	 600.8965 	 656.3104 	 644.4483 	 690.1379 
 yqfC 	 409.5862 	 407.069 	 292,00   	 338.4138 	 560.0345 	 574.2414 	 531.5172 	 607.5517 	 347.0345 	 337.7586 	 257.7242 	 263.5172 	 544.5172 	 606.2414 	 547.5862 	 549.0345 
 ymaG 	 827.3793 	 828.6207 	 842.8965 	 831.2414 	 530.1035 	 558.5172 	 869.8965 	 943.5517 	 680.931 	 709.7241 	 576.6896 	 630.3793 	 534.7241 	 588.6552 	 925.9655 	 1008.724 
 yqaB 	 335.2069 	 349.0345 	 235.069 	 236.8621 	 387.2069 	 411,00   	 391.2758 	 395.4828 	 291.4483 	 268.3103 	 249,00   	 233.6552 	 463.8965 	 427.3448 	 378.6207 	 363.3448 
 ysgA 	 294.5862 	 321,00   	 234.8621 	 212.4483 	 383.6552 	 406.2758 	 414.2069 	 365.3793 	 247.0345 	 265,00   	 220.2069 	 203.6552 	 386.2414 	 385.7931 	 325.1379 	 351.5172 
 sacB 	 399.5517 	 366.5862 	 258.2414 	 247.1379 	 454.2069 	 471,00   	 467.6552 	 529.6207 	 322.069 	 328.7242 	 231.1379 	 237.6207 	 421.1035 	 501.5517 	 438.1035 	 480.931 
 yrkH 	 614.4483 	 567.3448 	 381.3793 	 350.8276 	 507.2414 	 486.9655 	 542.2759 	 524.7931 	 543.6552 	 488.7586 	 320.2069 	 359.4138 	 540.7931 	 535.4138 	 534.4483 	 503.7586 
 flhO 	 498.5517 	 500.4483 	 393.8965 	 489.4138 	 831,00   	 863.7931 	 659.069 	 760.2069 	 405.7931 	 466.4483 	 521.1724 	 500.7242 	 774.1035 	 841.069 	 1028.172 	 1113.621 
 yjzA 	 1383.552 	 1239.379 	 934.6207 	 899.7931 	 1410.966 	 1463.862 	 1438.828 	 1440.345 	 1200.103 	 1180.828 	 894.7241 	 939.5862 	 1397.897 	 1423.724 	 1452.655 	 1 432,00   
 yrdF 	 594.9655 	 591.4138 	 532.2069 	 459.1379 	 661.5172 	 664.0345 	 663.6896 	 762.931 	 535.8621 	 544.931 	 436.7586 	 430.1379 	 693.2414 	 817.8621 	 716.8621 	 747.8276 
 yrbF 	 812.069 	 880.4138 	 521.3104 	 521.2759 	 1435.621 	 1510.862 	 1062.931 	 1106.621 	 592.5172 	 618.8621 	 470.5172 	 492.8621 	 1381.655 	 1383.034 	 1045.241 	 1051.034 
 yuxI 	 507.4483 	 513.4483 	 411.8621 	 391.3793 	 646.5862 	 664.2759 	 610.2069 	 647,00   	 492.6207 	 489.1724 	 441.6552 	 396.6207 	 747.5172 	 816.6552 	 653.3448 	 669.5517 
 accA 	 626.3793 	 655.6207 	 507.8276 	 502.7931 	 1071.414 	 1162.034 	 1096.207 	 1133.276 	 488.2758 	 535.5517 	 561.2069 	 575.3448 	 1093.483 	 1113.345 	 1104.517 	 1109.448 
 yckA 	 424.8621 	 438,00   	 261.1379 	 285.5862 	 542.4138 	 643.3793 	 546,00   	 607.1035 	 326.7586 	 301.8621 	 243.2414 	 288.5862 	 523.5517 	 649.1035 	 418.3103 	 548.6552 
 ytrB 	 1215.483 	 1209.414 	 1080.621 	 1 048,00   	 2144.896 	 2202.586 	 2 895,00   	 2948.69 	 1035.379 	 1080.931 	 1048.414 	 1130.966 	 2524.828 	 2585.069 	 2806.276 	 2772.276 
 yydB 	 545.7931 	 569.0345 	 357.5862 	 349.5172 	 758.4138 	 794.6896 	 641.1035 	 686.3448 	 443.7931 	 361.5517 	 361.4483 	 366.8276 	 684.3793 	 698.6207 	 740.6207 	 715.4138 
 ykfC 	 1717.103 	 1760.172 	 1016.621 	 1045.448 	 1100.759 	 1059.862 	 1200.724 	 1242.103 	 1530.897 	 1487.345 	 1055.586 	 1043.759 	 1 235,00   	 1244.793 	 1253.621 	 1205.448 
 yrhC 	 1419.276 	 1464.103 	 957.1035 	 952.3793 	 1898.759 	 1954.828 	 1907.793 	 2 007,00   	 1000.517 	 1118.931 	 1006.655 	 1007.379 	 1917.655 	 1994.621 	 1955.172 	 1995.207 
 fliD 	 790.1724 	 829.3104 	 610.1035 	 578.2759 	 771.4138 	 755.4138 	 745.4483 	 768.2069 	 698.2414 	 692.3104 	 624.069 	 689.8276 	 697.1724 	 831.2414 	 931.2414 	 931.3448 
 yvkN 	 586.931 	 572.931 	 354.9655 	 354.6897 	 593.4483 	 601.7241 	 626.6552 	 616.6896 	 502.1724 	 526.069 	 328.5172 	 330.4828 	 714.931 	 735.931 	 626.3793 	 566.6552 
 yueF 	 525.2759 	 554.1724 	 367.7242 	 362.5172 	 623.5862 	 672.7586 	 731.1035 	 793.1724 	 433.2069 	 412.6207 	 323.3448 	 322.9655 	 662.1035 	 668.5862 	 691.8965 	 727.2759 
 ykuE 	 466.6207 	 446.1379 	 281.7586 	 266.2414 	 447.9655 	 421.7586 	 489.2414 	 476.6552 	 370.069 	 426.6207 	 255.8621 	 299,00   	 451,00   	 475.1379 	 475.7586 	 476.5862 
 ywqK 	 810.2759 	 841.5517 	 540.931 	 538.5172 	 1126.448 	 1106.241 	 1146.655 	 1192.31 	 704.8621 	 725.5517 	 480.3103 	 475.6207 	 1249.069 	 1276.414 	 1053.724 	 1032.552 
 ydcH 	 363.069 	 376.8621 	 255.9655 	 256.7586 	 451.1724 	 518.1379 	 455.7931 	 455.2414 	 287.8276 	 282.6897 	 204.4828 	 262.4138 	 423.0345 	 462.931 	 406.1724 	 384.0345 
 pdhC 	 1258.345 	 1229.069 	 900.931 	 907.3448 	 1982.966 	 2010.379 	 1494.621 	 1518.069 	 833.4483 	 853.8276 	 887.2759 	 947.3793 	 1556.759 	 1607.345 	 1548.69 	 1597.034 
 abnA 	 1211.621 	 1290.724 	 844.8621 	 834.1379 	 1429.414 	 1479.414 	 1 472,00   	 1605.483 	 1080.034 	 1144.621 	 773.1035 	 834.6207 	 1624.172 	 1789.586 	 1498.724 	 1 556,00   
 yyaL 	 1815.724 	 1730.207 	 1518.621 	 1436.552 	 1459.103 	 1569.069 	 2084.793 	 2127.414 	 1540.655 	 1626.483 	 1436.483 	 1470.931 	 1748.69 	 1693.69 	 2032.655 	 2089.896 
 ybfG 	 382.8276 	 398.7586 	 305.3793 	 281.5517 	 451.3793 	 482.5172 	 513.8965 	 481.8276 	 336.8965 	 360.2069 	 260.3103 	 245.8965 	 570.2414 	 527.7931 	 461.3448 	 442.4828 
 yusJ 	 1013.034 	 1004.448 	 720.2759 	 728.2069 	 1173.207 	 1224.207 	 1296.483 	 1369.379 	 1051.345 	 999.5862 	 743.8621 	 726.4483 	 1429.828 	 1478.448 	 1 297,00   	 1323.724 
 sleB 	 386.069 	 400.2758 	 271.8276 	 270.5862 	 467,00   	 510.0345 	 486.8965 	 492.2758 	 343.8965 	 344.1724 	 251.6207 	 231.1035 	 482.4483 	 541.3104 	 399.5172 	 435.8621 
 yacH 	 1410.31 	 1382.448 	 764.931 	 754.3793 	 1583.379 	 1602.966 	 1576.69 	 1649.069 	 1212.448 	 1284.552 	 688.3104 	 715.4828 	 1856.552 	 1967.448 	 1602.966 	 1656.379 
 rbsB 	 328.7931 	 332.4138 	 229.3103 	 221.1724 	 379.5517 	 373.5862 	 380.9655 	 376.931 	 276.8621 	 285.8276 	 213.5862 	 217.1379 	 402,00   	 420.3103 	 356.4828 	 360.5517 
 ylxY 	 371.7586 	 393.931 	 327.3103 	 312.7586 	 541.6552 	 511.0345 	 435,00   	 479.2758 	 342.069 	 324.7242 	 311.4483 	 274.3103 	 447.4138 	 482.9655 	 510.1379 	 502.8965 
 yueE 	 348.2758 	 324.7931 	 234.6207 	 245.3103 	 408.1379 	 399.6207 	 354.6897 	 364.2758 	 326.5862 	 317.9655 	 221,00   	 269.6552 	 465.069 	 475.931 	 364.8621 	 342.6552 
 yqgU 	 428.2758 	 421.0345 	 354.4828 	 356.8276 	 646.931 	 627.8621 	 613.2069 	 618.9655 	 381,00   	 383.7242 	 325.5517 	 312.1035 	 637.6896 	 661.0345 	 609.4828 	 594.8965 
 yisX 	 1386.621 	 1417.448 	 1205.586 	 1193.621 	 1536.379 	 1552.069 	 2010.724 	 2132.966 	 1 182,00   	 1242.724 	 954.4828 	 985.7241 	 2137.862 	 2333.31 	 2065.793 	 2185.069 
 lytD 	 1378.586 	 1346.759 	 1159.31 	 1237.103 	 1484.034 	 1522.034 	 1676.448 	 1671.207 	 1133.207 	 1233.483 	 916.9655 	 930.6207 	 1656.138 	 1644.034 	 1854.207 	 1908.69 
 yvjA 	 562.1379 	 607.9655 	 443.6897 	 498.0345 	 705.4138 	 786.0345 	 754.2069 	 802.8965 	 472.3793 	 510.2758 	 368.5517 	 376.3448 	 731.5517 	 821.069 	 703.1379 	 772.4483 
 xkdM 	 674,00   	 680.3104 	 478.7586 	 476.3448 	 803.6896 	 822.7931 	 761.6896 	 741.4828 	 588.2069 	 606.8621 	 366.4828 	 374.7931 	 919.8276 	 946.7241 	 706.8621 	 715.4828 
 ytxJ 	 494.0345 	 470.7586 	 437.6897 	 404.5517 	 657.3793 	 693.1035 	 609.2759 	 629.2069 	 424.8621 	 472.069 	 400.9655 	 430.7586 	 832.5172 	 896.1035 	 633,00   	 623.5517 
 citB 	 1416.483 	 1336.172 	 1486.103 	 1459.862 	 1514.345 	 1515.69 	 1393.034 	 1487.069 	 1171.448 	 1227.69 	 1129.034 	 1145.31 	 1701.828 	 1729.966 	 1604.379 	 1603.034 
 yutK 	 815.6896 	 849.1724 	 633.3793 	 690.4138 	 901.9655 	 938.5517 	 958.2069 	 1029.207 	 739.5862 	 825.3104 	 540.6896 	 606.7241 	 1000.552 	 1068.586 	 973.4483 	 1021.896 
 rpmG 	 754.6552 	 758.069 	 613.5862 	 670.5862 	 1024.897 	 1056.931 	 937.3793 	 1021.345 	 757.8965 	 803,00   	 526.6207 	 605.6896 	 1250.034 	 1343.207 	 1003.896 	 1010.69 
 yjzB 	 363.5517 	 377.2414 	 284.3793 	 256.3793 	 476.6552 	 492.7242 	 526.7931 	 763.3793 	 354.8621 	 323.2069 	 266.3793 	 282.7586 	 550.931 	 578.8276 	 526.2069 	 584.0345 
 narJ 	 1287.586 	 1366.828 	 1299.655 	 1270.655 	 2544.517 	 2563.586 	 3831.483 	 4072.862 	 1237.69 	 1308.379 	 1121.069 	 1196.207 	 2918.931 	 3173.31 	 3655.276 	 3868.69 
 yccF 	 450.1724 	 454.1379 	 352,00   	 411.1035 	 598.1035 	 651.4828 	 539.069 	 578.4828 	 450.4828 	 464.3103 	 329.8965 	 345.0345 	 682.4828 	 724.3104 	 492.7242 	 558.8621 
 ylqG 	 473.1035 	 452.4828 	 400.7242 	 398.8621 	 595.7241 	 532.8276 	 618.5862 	 592.5517 	 473.069 	 397.2414 	 414.7586 	 386.6207 	 714.8621 	 675.2414 	 604.1724 	 558.8965 
 yjgB 	 666.6896 	 688.4138 	 561.6552 	 566.4828 	 600.2069 	 504.2758 	 1001.586 	 1060.931 	 683.3104 	 670.3448 	 478.5517 	 495.7931 	 705.1035 	 643.3104 	 1031.172 	 1063.862 
 ysxD 	 568.5517 	 597.5172 	 458.6207 	 453.2069 	 774.1379 	 687.6207 	 724.6207 	 652.8621 	 565.9655 	 515.1379 	 390.3793 	 363.4828 	 874.1035 	 873.069 	 689.5862 	 644.1035 
 yvgR 	 1134.448 	 1208.138 	 1046.621 	 992.069 	 1374.103 	 1 366,00   	 1383.276 	 1492.241 	 1170.724 	 1085.828 	 889.7241 	 907.8621 	 1423.69 	 1523.276 	 1394.517 	 1442.31 
 ydaB 	 1333.724 	 1415.241 	 1073.103 	 1036.034 	 1531.172 	 1541.345 	 1666.828 	 1676.759 	 1231.931 	 1268.276 	 877.4138 	 872.3448 	 1788.828 	 1772.655 	 1562.586 	 1609.138 
 ykvD 	 1141.586 	 1214.483 	 963.3793 	 960.3448 	 933.7586 	 775.5172 	 922.8965 	 977.8621 	 1016.966 	 980.7931 	 807.2069 	 878.2069 	 1069.724 	 1117.034 	 913.9655 	 886.8965 
 yxxD 	 508,00   	 504.069 	 306.3103 	 265.6897 	 486.1724 	 417.069 	 478.3448 	 457.7931 	 410.8621 	 405.6207 	 289.4828 	 247.7586 	 567.4828 	 468.6207 	 442.8965 	 377.931 
 yjbR 	 1130.828 	 1133.931 	 854.5517 	 856.4138 	 1629.931 	 1678.897 	 1567.966 	 1578.862 	 1029.655 	 961.2414 	 829.5517 	 830.7586 	 1876.345 	 1 921,00   	 1574.241 	 1 532,00   
 yomV 	 365.2069 	 336.8276 	 272.7931 	 264.6552 	 427.5172 	 400.7586 	 463.6552 	 402.069 	 310.8965 	 309.2069 	 274.3103 	 242.2759 	 509.6552 	 499.4828 	 397.6897 	 403.3103 
 yorX 	 374.931 	 375.5862 	 299.2069 	 304.4138 	 437.4138 	 510.3103 	 455.8965 	 512,00   	 317.1035 	 312.3448 	 257.9655 	 297.4483 	 503.9655 	 624.4483 	 493.1379 	 510.7586 
 rapF 	 1260.138 	 1286.759 	 946.6552 	 934.8276 	 1687.828 	 1752.724 	 1391.448 	 1394.897 	 1 160,00   	 1106.724 	 813.3448 	 799.2069 	 2497.207 	 2452.138 	 1447.034 	 1485.828 
 ywqN 	 1080.621 	 1114.793 	 800.069 	 829.2069 	 1260.759 	 1304.034 	 1275.034 	 1308.103 	 930.1035 	 936.4483 	 602.3793 	 667.4138 	 1455.069 	 1523.103 	 1320.862 	 1311.793 
 rapI 	 1504.966 	 1506.414 	 1257.586 	 1236.069 	 974.4828 	 969.5862 	 1220.862 	 1310.379 	 1248.138 	 1274.276 	 975.3448 	 990.8276 	 1026.103 	 1161.276 	 1248.345 	 1266.448 
 yneS 	 664.7931 	 683.8965 	 491.7586 	 492.6897 	 752.9655 	 675.5862 	 751.5172 	 774.9655 	 493.3793 	 441.6552 	 405.4483 	 395.069 	 882.3104 	 798.7931 	 764.3104 	 743.2069 
 ftsH 	 1698.724 	 1651.517 	 1398.379 	 1 414,00   	 1654.241 	 1665.069 	 2004.931 	 2320.655 	 1157.207 	 1245.552 	 1164.414 	 1019.448 	 2418.69 	 2467.069 	 2169.414 	 2229.379 
 ykqA 	 602.5517 	 610.6207 	 515.4138 	 622.9655 	 787.6552 	 783.8621 	 768.8276 	 725.3793 	 525.4483 	 491.7586 	 440.6897 	 423.1379 	 848.3104 	 857.6552 	 776.4483 	 755.7241 
 ywhE 	 535.3448 	 468.4138 	 366.7586 	 378.5517 	 514.069 	 535.3104 	 477.6897 	 518,00   	 445.8965 	 358.1035 	 288.4828 	 288.4138 	 529.1379 	 469.7586 	 496.8965 	 488,00   
 ybbM 	 714.7931 	 744.1035 	 430.2069 	 449.6207 	 1208.931 	 1306.828 	 972.0345 	 987.8965 	 531.3793 	 602.4483 	 457.2069 	 462.3793 	 1240.172 	 1123.931 	 896.2069 	 992.6896 
 ybcD 	 918.069 	 895.3793 	 690.8276 	 641.5172 	 1247.414 	 1174.655 	 1235.586 	 1186.448 	 826.4828 	 797.069 	 555.5517 	 533.6207 	 1124.931 	 1127.586 	 1160.241 	 1209.828 
 carA 	 1579.414 	 1609.931 	 1199.345 	 1135.138 	 2175.759 	 2242.241 	 2328.552 	 2325.966 	 1407.138 	 1440.724 	 1091.069 	 1067.034 	 2038.897 	 1973.207 	 2096.138 	 2143.517 
 mreBH 	 1816.172 	 1869.172 	 1257.172 	 1181.31 	 2206.276 	 2151.483 	 2025.517 	 2065.724 	 1794.897 	 1692.828 	 1237.103 	 1243.621 	 2290.138 	 2351.828 	 2150.104 	 2279.034 
 ytsD 	 393.6552 	 372.5172 	 259.8965 	 236.931 	 463.5517 	 462.4483 	 442.6897 	 449.2069 	 321.4828 	 330.069 	 228.4483 	 240.5517 	 511.2069 	 491.6552 	 420.8276 	 398.3793 
 yhxC 	 441.5172 	 386.5517 	 263.3793 	 289,00   	 562.8621 	 529.069 	 568.3104 	 538.931 	 348.9655 	 348.3448 	 280.5517 	 258.8276 	 561.8276 	 550.1035 	 509.3448 	 504.8965 
 comFA 	 907.6207 	 875.6896 	 382.7242 	 384.2069 	 1520.897 	 1445.345 	 682.3104 	 724.3793 	 604.1035 	 598.5172 	 312.8621 	 320.7242 	 1201.517 	 1180.103 	 605.3448 	 587.931 
 yrpG 	 453.8621 	 361,00   	 302.2069 	 288.5862 	 555.5172 	 514.6552 	 491.7931 	 454.6552 	 399.7931 	 382.6207 	 285.1035 	 256.5517 	 639,00   	 536.6552 	 458.3448 	 427.4138 
 ykuR 	 363.1035 	 442.3103 	 288.2758 	 285.6897 	 533.9655 	 525.069 	 406.2414 	 448.8965 	 299.069 	 379.3793 	 232.2069 	 217.2069 	 526.3104 	 538.5172 	 370.8276 	 422.069 
 ycdF 	 541.1379 	 552.3448 	 364.8276 	 349.1379 	 705.1724 	 772.7241 	 758.2069 	 850.3104 	 429.2414 	 386.1379 	 291.0345 	 305.5517 	 661.069 	 693.0345 	 624.6896 	 669.8621 
 yjbU 	 1694.448 	 1 837,00   	 1274.966 	 1 344,00   	 2028.414 	 1946.517 	 2077.586 	 2185.448 	 1651.241 	 1809.69 	 1198.931 	 1245.69 	 2305.414 	 2356.793 	 2 045,00   	 2093.931 
 yojB 	 656.4138 	 605.1035 	 391.3793 	 386.069 	 568.1035 	 510.8621 	 622.931 	 595.5862 	 486.7931 	 573.5517 	 363.0345 	 315.1724 	 585,00   	 500.4138 	 533.931 	 549.5517 
 menB 	 2106.793 	 2097.104 	 1655.931 	 1660.414 	 2177.862 	 2367.448 	 2747.276 	 2823.31 	 1691.379 	 1988.241 	 1371.276 	 1383.69 	 2493.483 	 2485.724 	 2620.69 	 2625.586 
 yomB 	 575.6552 	 502.1035 	 294.3103 	 262.069 	 509.6897 	 446.931 	 579.069 	 532.1379 	 394.6897 	 260.5862 	 310.069 	 268.2758 	 553.5862 	 504.7586 	 504.4828 	 406.9655 
 atpC 	 1013.931 	 1031.552 	 922.5172 	 863.7931 	 1531.103 	 2065.104 	 1848.379 	 1929.414 	 706.3104 	 812.5172 	 779.1724 	 817.4138 	 1836.793 	 1900.448 	 1571.034 	 1673.966 
 gidB 	 565.0345 	 458.1379 	 409.3448 	 372.069 	 648.1724 	 629.069 	 664.2069 	 512.4483 	 418.3793 	 369.6207 	 321.9655 	 319,00   	 653.1035 	 601.4138 	 537.2069 	 457.6897 
 rpsT 	 1615.448 	 1593.862 	 1453.828 	 1467.966 	 2675.828 	 2789.276 	 2910.517 	 3011.104 	 1384.138 	 1456.517 	 1076.379 	 1154.793 	 2359.138 	 2612.793 	 2572.172 	 2763.724 
 yckH 	 814.3104 	 683.2069 	 480.4138 	 430.069 	 1012.448 	 920.1379 	 810.7586 	 632.1035 	 584.6207 	 577.8276 	 374.931 	 372.5517 	 975.1724 	 923.6552 	 756.2759 	 595.8276 
 phrA 	 912.2069 	 967.6207 	 763.4828 	 819.3448 	 1858.655 	 1958.966 	 1894.241 	 1971.172 	 941.8965 	 1036.414 	 673.7586 	 701.931 	 2678.724 	 2668.828 	 1809.069 	 1907.517 
 yphP 	 1275.414 	 1 290,00   	 1002.069 	 1020.896 	 1 496,00   	 1463.552 	 1266.345 	 1311.103 	 1199.207 	 1159.793 	 819.6207 	 852.7241 	 1293.621 	 1388.552 	 1216.759 	 1307.724 
 yugN 	 1171.414 	 1299.241 	 1053.621 	 1068.966 	 1325.931 	 1441.207 	 1333.724 	 1478.931 	 1195.448 	 1273.724 	 837,00   	 878.069 	 1510.655 	 1636.448 	 1356.724 	 1392.172 
 yqdA 	 1273.379 	 1205.31 	 860.0345 	 859.5517 	 1348.931 	 1412.759 	 1655.241 	 1777.552 	 1086.069 	 1192.483 	 655.931 	 696.8276 	 1618.345 	 1781.552 	 1566.966 	 1611.517 
 yoaV 	 874.5517 	 911.8276 	 682,00   	 681.6207 	 1685.241 	 1734.103 	 1536.414 	 1504.414 	 1045.034 	 1022.966 	 624.8276 	 642.3104 	 2487.586 	 2607.586 	 1535.931 	 1618.172 
 ycbD 	 427.8965 	 439.5172 	 262.3103 	 246.6207 	 512.2069 	 444.931 	 476.1035 	 459.6207 	 327,00   	 332.5517 	 182.7241 	 212.3103 	 405.4828 	 366.6897 	 352.3103 	 292.2414 
 yvdT 	 505.6207 	 529.2759 	 297.7242 	 319,00   	 550.931 	 566.1724 	 422.8965 	 462.1379 	 332.6552 	 362.3103 	 266.4483 	 241.6552 	 587.4483 	 564.0345 	 436.4138 	 426.7931 
 ycnG 	 1253.655 	 1251.207 	 1010.586 	 967.5172 	 1560.034 	 1648.379 	 1614.931 	 1713.517 	 1200.793 	 1194.034 	 792.7931 	 858.7586 	 1732.414 	 1776.552 	 1525.448 	 1628.724 
 ykoI 	 790.2414 	 973.5517 	 600.0345 	 613.5517 	 899.2414 	 957.8621 	 863.1035 	 1047.759 	 740.3793 	 806.5517 	 447.4483 	 547.6896 	 1000.862 	 1116.517 	 917.7241 	 966.3448 
 panD 	 1882.034 	 1882.586 	 1459.69 	 1424.621 	 2418.759 	 2506.31 	 2139.345 	 2231.793 	 1652.862 	 1725.931 	 1163.586 	 1261.069 	 2569.552 	 2441.966 	 1995.448 	 2103.621 
 yutF 	 1487.724 	 1516.172 	 1212.483 	 1187.586 	 1891.31 	 1871.138 	 2159.448 	 2171.793 	 1502.379 	 1505.897 	 969.6207 	 1011.793 	 1933.034 	 1863.414 	 2128.724 	 2103.138 
 paiA 	 545.4138 	 401.5517 	 279.3793 	 232.8621 	 427.2069 	 374.6552 	 424.931 	 383.3448 	 374.9655 	 284,00   	 223.5172 	 210.8276 	 458.7586 	 377.3793 	 365.2414 	 348.1724 
 yttA 	 497.7931 	 525.6552 	 360.8276 	 348.3793 	 778.7241 	 772.1035 	 634.6207 	 639.7241 	 451.1379 	 459.7931 	 280.2414 	 345.5172 	 711.2759 	 764.6207 	 604.5517 	 618.5862 
 yhcO 	 697.6896 	 722.3104 	 370.5517 	 356.069 	 469.8621 	 473.931 	 461.9655 	 467.0345 	 612.931 	 608.8276 	 330.7931 	 358.3103 	 457.3793 	 427.7586 	 439.2758 	 469.6897 
 yhaK 	 384.5862 	 395.1035 	 259.7931 	 278.7242 	 434.9655 	 482.4828 	 446.5517 	 450.069 	 346.1724 	 299.8965 	 282.3793 	 274.1379 	 429.3793 	 448.8621 	 436.5862 	 424.8621 
 ydcD 	 1191.69 	 1178.345 	 880.6896 	 848.4483 	 1608.966 	 1 577,00   	 1542.138 	 1588.586 	 1035.207 	 1049.862 	 763.5517 	 782.8276 	 1476.448 	 1585.276 	 1534.586 	 1598.759 
 ykuL 	 673.8621 	 774.2414 	 454.6897 	 493.9655 	 508.8965 	 573.7586 	 517.1379 	 625.1379 	 600.9655 	 679.3793 	 289.7242 	 347.069 	 474.5517 	 612.5172 	 489.2069 	 650.069 
 yqhZ 	 1629.414 	 1497.138 	 1259.931 	 1279.379 	 2161.896 	 2219.828 	 2179.552 	 2239.586 	 1532.483 	 1657.345 	 1 100,00   	 1092.828 	 2418.621 	 2367.586 	 1993.276 	 2050.966 
 yvbQ 	 2120.414 	 1937.207 	 1567.931 	 1502.241 	 2522.31 	 2525.862 	 2 698,00   	 2778.862 	 1914.448 	 2027.276 	 1 329,00   	 1431.448 	 2657.448 	 2630.759 	 2878.069 	 2887.793 
 yddF 	 431.2069 	 277.069 	 282.1379 	 267.5517 	 375.3793 	 370.2758 	 449.3448 	 458.6207 	 336.8965 	 278.4483 	 213.8276 	 206.2759 	 468.8621 	 492,00   	 476.4828 	 352.1724 
 ytjA 	 393.4138 	 363.9655 	 276.931 	 279.7586 	 474.4138 	 490.1035 	 418.6552 	 417.3448 	 297.6552 	 311.7931 	 225.5517 	 210,00   	 505.7931 	 474.8276 	 402.2069 	 399.3793 
